German	English	Persian	Gender	Article	Plural	Cases	Example
Orangensaft	orange juice	آب پرتقال	Maskulin	der	die Orangensäfte	[Nom] [Akk] [Dat] [Gen]	—
Apfelsaft	apple juice	آب سیب	Maskulin	der	die Apfelsäfte	[Nom] [Akk] [Dat] [Gen]	—
Milchkaffee	latte	قهوه شیردار	Maskulin	der	die Milchkaffees	[Nom] [Akk] [Dat] [Gen]	—
Milch	milk	شیر	Feminin	die	die Milch	[Nom] [Akk] [Dat] [Gen]	—
Cola	cola	کولا	Feminin	die	die Colas	[Nom] [Akk] [Dat] [Gen]	—
Getränk	drink	نوشیدنی	Neutral	das	die Getränke	[Nom] [Akk] [Dat] [Gen]	—
Bier	beer	آبجو	Neutral	das	die Biere	[Nom] [Akk] [Dat] [Gen]	—
Wasser	water	آب	Neutral	das	die Wasser	[Nom] [Akk] [Dat] [Gen]	—
Apfel	apple	سیب	Maskulin	der	die Äpfel	[Nom] [Akk] [Dat] [Gen]	—
Pfirsich	peach	هلو	Maskulin	der	die Pfirsiche	[Nom] [Akk] [Dat] [Gen]	—
Pilz	mushroom	قارچ	Maskulin	der	die Pilze	[Nom] [Akk] [Dat] [Gen]	—
Banane	banana	موز	Feminin	die	die Bananen	[Nom] [Akk] [Dat] [Gen]	—
Orange	orange	پرتقال	Feminin	die	die Orangen	[Nom] [Akk] [Dat] [Gen]	—
Tomate	tomato	گوجه فرنگی	Feminin	die	die Tomaten	[Nom] [Akk] [Dat] [Gen]	—
Zitrone	lemon	لیمو	Feminin	die	die Zitronen	[Nom] [Akk] [Dat] [Gen]	—
Kartoffel	potato	سیب‌زمینی	Feminin	die	die Kartoffeln	[Nom] [Akk] [Dat] [Gen]	—
Möhre	carrot	هویج	Feminin	die	die Möhren	[Nom] [Akk] [Dat] [Gen]	—
Paprika	bell pepper	فلفل دلمه‌ای	Feminin	die	die Paprikas	[Nom] [Akk] [Dat] [Gen]	—
Gemüse	vegetables	سبزیجات	Neutral	das	die Gemüse	[Nom] [Akk] [Dat] [Gen]	—
Obst	fruit	میوه	Neutral	das	die Obst	[Nom] [Akk] [Dat] [Gen]	—
Müsli	muesli	موسلي	Maskulin	der	die Müslis	[Nom] [Akk] [Dat] [Gen]	—
Käse	cheese	پنیر	Maskulin	der	die Käse	[Nom] [Akk] [Dat] [Gen]	—
Joghurt	yogurt	ماست	Maskulin	der	die Joghurts	[Nom] [Akk] [Dat] [Gen]	—
Reis	rice	برنج	Maskulin	der	die Reis	[Nom] [Akk] [Dat] [Gen]	—
Fisch	fish	ماهی	Maskulin	der	die Fische	[Nom] [Akk] [Dat] [Gen]	—
Hamburger	hamburger	همبرگر	Maskulin	der	die Hamburgers	[Nom] [Akk] [Dat] [Gen]	—
Schinken	ham	ژامبون	Maskulin	der	die Schinken	[Nom] [Akk] [Dat] [Gen]	—
Toast	toast	نان تست	Maskulin	der	die Toasts	[Nom] [Akk] [Dat] [Gen]	—
Honig	honey	عسل	Maskulin	der	die Honige	[Nom] [Akk] [Dat] [Gen]	—
Kuchen	cake	کیک	Maskulin	der	die Kuchen	[Nom] [Akk] [Dat] [Gen]	—
Zucker	sugar	شکر	Maskulin	der	die Zucker	[Nom] [Akk] [Dat] [Gen]	—
Pizza	pizza	پیتزا	Feminin	die	die Pizzen	[Nom] [Akk] [Dat] [Gen]	—
Marmelade	jam	مربا	Feminin	die	die Marmeladen	[Nom] [Akk] [Dat] [Gen]	—
Wurst	sausage	سوسیس	Feminin	die	die Würste	[Nom] [Akk] [Dat] [Gen]	—
Lasagne	lasagna	لازانیا	Feminin	die	die Lasagnen	[Nom] [Akk] [Dat] [Gen]	—
Butter	butter	کره	Feminin	die	die Butter	[Nom] [Akk] [Dat] [Gen]	—
Hühnersuppe	chicken soup	سوپ مرغ	Feminin	die	die Hühnersuppen	[Nom] [Akk] [Dat] [Gen]	—
Essen	food/meal	غذا	Neutral	das	die Essen	[Nom] [Akk] [Dat] [Gen]	—
Lieblingsessen	favorite food	غذای مورد علاقه	Neutral	das	die Lieblingsessen	[Nom] [Akk] [Dat] [Gen]	—
Milchprodukt	dairy product	لبنیات	Neutral	das	die Milchprodukte	[Nom] [Akk] [Dat] [Gen]	—
Öl	oil	روغن	Neutral	das	die Öle	[Nom] [Akk] [Dat] [Gen]	—
Hähnchen	chicken	مرغ	Neutral	das	die Hähnchen	[Nom] [Akk] [Dat] [Gen]	—
Fleisch	meat	گوشت	Neutral	das	die Fleisch	[Nom] [Akk] [Dat] [Gen]	—
Brot	bread	نان	Neutral	das	die Brote	[Nom] [Akk] [Dat] [Gen]	—
Croissant	croissant	کروسان	Neutral	das	die Croissants	[Nom] [Akk] [Dat] [Gen]	—
Brötchen	bread roll	نان رولی	Neutral	das	die Brötchen	[Nom] [Akk] [Dat] [Gen]	—
Ei	egg	تخم مرغ	Neutral	das	die Eier	[Nom] [Akk] [Dat] [Gen]	—
Lebensmittel	groceries	مواد غذایی	Plural	die	—	[Nom] [Akk] [Dat] [Gen]	—
Liter	liter	لیتر	Maskulin	der	die Liter	[Nom] [Akk] [Dat] [Gen]	—
Becher	cup/container	لیوان	Maskulin	der	die Becher	[Nom] [Akk] [Dat] [Gen]	—
Zentimeter	centimeter	سانتی‌متر	Maskulin	der	die Zentimeter	[Nom] [Akk] [Dat] [Gen]	—
Packung	package	بسته	Feminin	die	die Packungen	[Nom] [Akk] [Dat] [Gen]	—
Flasche	bottle	بطری	Feminin	die	die Flaschen	[Nom] [Akk] [Dat] [Gen]	—
Tasse	cup	فنجان	Feminin	die	die Tassen	[Nom] [Akk] [Dat] [Gen]	—
Paket	parcel	بسته پستی	Neutral	das	die Pakete	[Nom] [Akk] [Dat] [Gen]	—
Kilo	kilogram	کیلوگرم	Neutral	das	die Kilos	[Nom] [Akk] [Dat] [Gen]	—
Gramm	gram	گرم	Neutral	das	die Gramm	[Nom] [Akk] [Dat] [Gen]	—
Stück	piece	قطعه	Neutral	das	die Stücke	[Nom] [Akk] [Dat] [Gen]	—
Iran	Iran	ایران	Maskulin	der	die Irans	[Nom] [Akk] [Dat] [Gen]	—
Irak	Iraq	عراق	Maskulin	der	die Iraks	[Nom] [Akk] [Dat] [Gen]	—
Libanon	Lebanon	لبنان	Maskulin	der	die Libanons	[Nom] [Akk] [Dat] [Gen]	—
Sudan	Sudan	سودان	Maskulin	der	die Sudans	[Nom] [Akk] [Dat] [Gen]	—
Jemen	Yemen	یمن	Maskulin	der	die Jemens	[Nom] [Akk] [Dat] [Gen]	—
Amerikaner	American man	آمریکایی (مرد)	Maskulin	der	die Amerikaner	[Nom] [Akk] [Dat] [Gen]	—
Franzose	French man	فرانسوی (مرد)	Maskulin	der	die Franzosen	[Nom] [Akk] [Dat] [Gen]	—
Schweiz	Switzerland	سوئیس	Feminin	die	die Schweiz	[Nom] [Akk] [Dat] [Gen]	—
Türkei	Turkey	ترکیه	Feminin	die	die Türkeien	[Nom] [Akk] [Dat] [Gen]	—
Ukraine	Ukraine	اوکراین	Feminin	die	die Ukrainen	[Nom] [Akk] [Dat] [Gen]	—
Amerikanerin	American woman	آمریکایی (زن)	Feminin	die	die Amerikanerinnen	[Nom] [Akk] [Dat] [Gen]	—
Französin	French woman	فرانسوی (زن)	Feminin	die	die Französinnen	[Nom] [Akk] [Dat] [Gen]	—
Sprache	language	زبان	Feminin	die	die Sprachen	[Nom] [Akk] [Dat] [Gen]	—
Muttersprache	mother tongue	زبان مادری	Feminin	die	die Muttersprachen	[Nom] [Akk] [Dat] [Gen]	—
Fremdsprache	foreign language	زبان خارجی	Feminin	die	die Fremdsprachen	[Nom] [Akk] [Dat] [Gen]	—
Land	country	کشور	Neutral	das	die Länder	[Nom] [Akk] [Dat] [Gen]	—
Deutsch	German language	زبان آلمانی	Neutral	das	die Deutsch	[Nom] [Akk] [Dat] [Gen]	—
Griechisch	Greek language	زبان یونانی	Neutral	das	die Griechisch	[Nom] [Akk] [Dat] [Gen]	—
Englisch	English language	زبان انگلیسی	Neutral	das	die Englisch	[Nom] [Akk] [Dat] [Gen]	—
Italienisch	Italian language	زبان ایتالیایی	Neutral	das	die Italienisch	[Nom] [Akk] [Dat] [Gen]	—
Polnisch	Polish language	زبان لهستانی	Neutral	das	die Polnisch	[Nom] [Akk] [Dat] [Gen]	—
Spanisch	Spanish language	زبان اسپانیایی	Neutral	das	die Spanisch	[Nom] [Akk] [Dat] [Gen]	—
Norden	north	شمال	Maskulin	der	die Norden	[Nom] [Akk] [Dat] [Gen]	—
Süden	south	جنوب	Maskulin	der	die Süden	[Nom] [Akk] [Dat] [Gen]	—
Westen	west	غرب	Maskulin	der	die Westen	[Nom] [Akk] [Dat] [Gen]	—
Osten	east	شرق	Maskulin	der	die Osten	[Nom] [Akk] [Dat] [Gen]	—
Tarif	rate	نرخ	Maskulin	der	die Tarife	[Nom] [Akk] [Dat] [Gen]	—
Preis	price	قیمت	Maskulin	der	die Preise	[Nom] [Akk] [Dat] [Gen]	—
Geldautomat	ATM	خودپرداز	Maskulin	der	die Geldautomaten	[Nom] [Akk] [Dat] [Gen]	—
Cent	cent	سنت	Maskulin	der	die Cents	[Nom] [Akk] [Dat] [Gen]	—
Euro	euro	یورو	Maskulin	der	die Euros	[Nom] [Akk] [Dat] [Gen]	—
Dollar	dollar	دلار	Maskulin	der	die Dollars	[Nom] [Akk] [Dat] [Gen]	—
Kreditkarte	credit card	کارت اعتباری	Feminin	die	die Kreditkarten	[Nom] [Akk] [Dat] [Gen]	—
Miete	rent	اجاره	Feminin	die	die Mieten	[Nom] [Akk] [Dat] [Gen]	—
Geld	money	پول	Neutral	das	die Geld	[Nom] [Akk] [Dat] [Gen]	—
Computer	computer	کامپیوتر	Maskulin	der	die Computer	[Nom] [Akk] [Dat] [Gen]	—
Laptop	laptop	لپ‌تاپ	Maskulin	der	die Laptops	[Nom] [Akk] [Dat] [Gen]	—
Drucker	printer	پرینتر	Maskulin	der	die Drucker	[Nom] [Akk] [Dat] [Gen]	—
USB-Stick	USB stick	فلش USB	Maskulin	der	die USB-Sticks	[Nom] [Akk] [Dat] [Gen]	—
Support	support	پشتیبانی	Maskulin	der	die Supports	[Nom] [Akk] [Dat] [Gen]	—
Text	text	متن	Maskulin	der	die Texte	[Nom] [Akk] [Dat] [Gen]	—
Status	status	وضعیت	Maskulin	der	die Statusse	[Nom] [Akk] [Dat] [Gen]	—
Bildschirm	screen	صفحه نمایش	Maskulin	der	die Bildschirme	[Nom] [Akk] [Dat] [Gen]	—
Software	software	نرم‌افزار	Feminin	die	die Softwares	[Nom] [Akk] [Dat] [Gen]	—
Maus	mouse	ماوس	Feminin	die	die Mäuse	[Nom] [Akk] [Dat] [Gen]	—
SMS	text message	پیامک	Feminin	die	die SMS	[Nom] [Akk] [Dat] [Gen]	—
Tastatur	keyboard	صفحه کلید	Feminin	die	die Tastaturen	[Nom] [Akk] [Dat] [Gen]	—
Information	information	اطلاعات	Feminin	die	die Informationen	[Nom] [Akk] [Dat] [Gen]	—
Chat	chat	چت	Neutral	das	die Chats	[Nom] [Akk] [Dat] [Gen]	—
Telefon	phone	تلفن	Neutral	das	die Telefone	[Nom] [Akk] [Dat] [Gen]	—
Handy	mobile phone	موبایل	Neutral	das	die Handys	[Nom] [Akk] [Dat] [Gen]	—
Smartphone	smartphone	اسمارت‌فون	Neutral	das	die Smartphones	[Nom] [Akk] [Dat] [Gen]	—
App	app	اپلیکیشن	Neutral	das	die Apps	[Nom] [Akk] [Dat] [Gen]	—
Programm	program	برنامه	Neutral	das	die Programme	[Nom] [Akk] [Dat] [Gen]	—
Ladegerät	charger	شارژر	Neutral	das	die Ladegeräte	[Nom] [Akk] [Dat] [Gen]	—
Podcast	podcast	پادکست	Maskulin	der	die Podcasts	[Nom] [Akk] [Dat] [Gen]	—
Radio	radio	رادیو	Maskulin	der	die Radios	[Nom] [Akk] [Dat] [Gen]	—
Zeitung	newspaper	روزنامه	Feminin	die	die Zeitungen	[Nom] [Akk] [Dat] [Gen]	—
Website	website	وب‌سایت	Feminin	die	die Websites	[Nom] [Akk] [Dat] [Gen]	—
Video	video	ویدیو	Neutral	das	die Videos	[Nom] [Akk] [Dat] [Gen]	—
Internet	internet	اینترنت	Neutral	das	die Internet	[Nom] [Akk] [Dat] [Gen]	—
Tisch	table	میز	Maskulin	der	die Tische	[Nom] [Akk] [Dat] [Gen]	—
Stuhl	chair	صندلی	Maskulin	der	die Stühle	[Nom] [Akk] [Dat] [Gen]	—
Schrank	wardrobe	کمد	Maskulin	der	die Schränke	[Nom] [Akk] [Dat] [Gen]	—
Fernseher	TV	تلویزیون	Maskulin	der	die Fernseher	[Nom] [Akk] [Dat] [Gen]	—
Lampe	lamp	چراغ	Feminin	die	die Lampen	[Nom] [Akk] [Dat] [Gen]	—
Tischlampe	table lamp	چراغ رومیزی	Feminin	die	die Tischlampen	[Nom] [Akk] [Dat] [Gen]	—
Couch	couch	مبل	Feminin	die	die Couchs	[Nom] [Akk] [Dat] [Gen]	—
Uhr	clock	ساعت	Feminin	die	die Uhren	[Nom] [Akk] [Dat] [Gen]	—
Bild	picture	تصویر	Neutral	das	die Bilder	[Nom] [Akk] [Dat] [Gen]	—
Bett	bed	تختخواب	Neutral	das	die Betten	[Nom] [Akk] [Dat] [Gen]	—
WC	toilet	توالت	Neutral	das	die WCs	[Nom] [Akk] [Dat] [Gen]	—
Möbel	furniture	مبلمان	Plural	die	—	[Nom] [Akk] [Dat] [Gen]	—
Balkon	balcony	بالکن	Maskulin	der	die Balkone	[Nom] [Akk] [Dat] [Gen]	—
Herd	stove	اجاق گاز	Maskulin	der	die Herde	[Nom] [Akk] [Dat] [Gen]	—
Grill	grill	کباب‌پز	Maskulin	der	die Grills	[Nom] [Akk] [Dat] [Gen]	—
Topf	pot	قابلمه	Maskulin	der	die Töpfe	[Nom] [Akk] [Dat] [Gen]	—
Kühlschrank	refrigerator	یخچال	Maskulin	der	die Kühlschränke	[Nom] [Akk] [Dat] [Gen]	—
Staubsauger	vacuum cleaner	جاروبرقی	Maskulin	der	die Staubsauger	[Nom] [Akk] [Dat] [Gen]	—
WG	shared flat	خانه مشترک	Feminin	die	die WGs	[Nom] [Akk] [Dat] [Gen]	—
Küche	kitchen	آشپزخانه	Feminin	die	die Küchen	[Nom] [Akk] [Dat] [Gen]	—
Mikrowelle	microwave	مایکروویو	Feminin	die	die Mikrowellen	[Nom] [Akk] [Dat] [Gen]	—
Dusche	shower	دوش	Feminin	die	die Duschen	[Nom] [Akk] [Dat] [Gen]	—
Garage	garage	گاراژ	Feminin	die	die Garagen	[Nom] [Akk] [Dat] [Gen]	—
Haus	house	خانه	Neutral	das	die Häuser	[Nom] [Akk] [Dat] [Gen]	—
Zimmer	room	اتاق	Neutral	das	die Zimmer	[Nom] [Akk] [Dat] [Gen]	—
Wohnzimmer	living room	اتاق نشیمن	Neutral	das	die Wohnzimmer	[Nom] [Akk] [Dat] [Gen]	—
Gästezimmer	guest room	اتاق مهمان	Neutral	das	die Gästezimmer	[Nom] [Akk] [Dat] [Gen]	—
Schlafzimmer	bedroom	اتاق خواب	Neutral	das	die Schlafzimmer	[Nom] [Akk] [Dat] [Gen]	—
Esszimmer	dining room	اتاق غذاخوری	Neutral	das	die Esszimmer	[Nom] [Akk] [Dat] [Gen]	—
Bad	bathroom	حمام	Neutral	das	die Bäder	[Nom] [Akk] [Dat] [Gen]	—
Fenster	window	پنجره	Neutral	das	die Fenster	[Nom] [Akk] [Dat] [Gen]	—
Termin	appointment	قرار ملاقات	Maskulin	der	die Termine	[Nom] [Akk] [Dat] [Gen]	—
Kunde	customer	مشتری	Maskulin	der	die Kunden	[Nom] [Akk] [Dat] [Gen]	—
Firma	company	شرکت	Feminin	die	die Firmen	[Nom] [Akk] [Dat] [Gen]	—
Visitenkarte	business card	کارت ویزیت	Feminin	die	die Visitenkarten	[Nom] [Akk] [Dat] [Gen]	—
Besprechung	meeting	جلسه	Feminin	die	die Besprechungen	[Nom] [Akk] [Dat] [Gen]	—
Büro	office	دفتر	Neutral	das	die Büros	[Nom] [Akk] [Dat] [Gen]	—
Interview	interview	مصاحبه	Neutral	das	die Interviews	[Nom] [Akk] [Dat] [Gen]	—
Telefongespräch	telephone conversation	مکالمه تلفنی	Neutral	das	die Telefongespräche	[Nom] [Akk] [Dat] [Gen]	—
Job	job	شغل	Maskulin	der	die Jobs	[Nom] [Akk] [Dat] [Gen]	—
Beruf	profession	حرفه	Maskulin	der	die Berufe	[Nom] [Akk] [Dat] [Gen]	—
Friseur	male hairdresser	آرایشگر (مرد)	Maskulin	der	die Friseure	[Nom] [Akk] [Dat] [Gen]	—
Architekt	male architect	معمار (مرد)	Maskulin	der	die Architekten	[Nom] [Akk] [Dat] [Gen]	—
Kollege	male colleague	همکار (مرد)	Maskulin	der	die Kollegen	[Nom] [Akk] [Dat] [Gen]	—
Chef	male boss	رئیس (مرد)	Maskulin	der	die Chefs	[Nom] [Akk] [Dat] [Gen]	—
Polizist	male policeman	پلیس (مرد)	Maskulin	der	die Polizisten	[Nom] [Akk] [Dat] [Gen]	—
Manager	male manager	مدیر (مرد)	Maskulin	der	die Manager	[Nom] [Akk] [Dat] [Gen]	—
IT-Ingenieur	male IT engineer	مهندس IT (مرد)	Maskulin	der	die IT-Ingenieure	[Nom] [Akk] [Dat] [Gen]	—
Taxifahrer	male taxi driver	راننده تاکسی (مرد)	Maskulin	der	die Taxifahrer	[Nom] [Akk] [Dat] [Gen]	—
Rentner	male retiree	بازنشسته (مرد)	Maskulin	der	die Rentner	[Nom] [Akk] [Dat] [Gen]	—
Koch	male cook	آشپز (مرد)	Maskulin	der	die Köche	[Nom] [Akk] [Dat] [Gen]	—
Student	male university student	دانشجو (مرد)	Maskulin	der	die Studenten	[Nom] [Akk] [Dat] [Gen]	—
Arzt	male doctor	پزشک (مرد)	Maskulin	der	die Ärzte	[Nom] [Akk] [Dat] [Gen]	—
Verkäufer	salesman	فروشنده (مرد)	Maskulin	der	die Verkäufer	[Nom] [Akk] [Dat] [Gen]	—
Lehrer	male teacher	معلم (مرد)	Maskulin	der	die Lehrer	[Nom] [Akk] [Dat] [Gen]	—
Journalist	male journalist	روزنامه‌نگار (مرد)	Maskulin	der	die Journalisten	[Nom] [Akk] [Dat] [Gen]	—
Fitnesstrainer	male fitness trainer	مربی بدنسازی (مرد)	Maskulin	der	die Fitnesstrainer	[Nom] [Akk] [Dat] [Gen]	—
Programmierer	male programmer	برنامه‌نویس (مرد)	Maskulin	der	die Programmierer	[Nom] [Akk] [Dat] [Gen]	—
Pilot	male pilot	خلبان (مرد)	Maskulin	der	die Piloten	[Nom] [Akk] [Dat] [Gen]	—
Krankenpfleger	male nurse	پرستار (مرد)	Maskulin	der	die Krankenpfleger	[Nom] [Akk] [Dat] [Gen]	—
Psychologe	male psychologist	روانشناس (مرد)	Maskulin	der	die Psychologen	[Nom] [Akk] [Dat] [Gen]	—
Hausmann	househusband	خانه‌دار (مرد)	Maskulin	der	die Hausmänner	[Nom] [Akk] [Dat] [Gen]	—
Automechaniker	male auto mechanic	مکانیک خودرو (مرد)	Maskulin	der	die Automechaniker	[Nom] [Akk] [Dat] [Gen]	—
Redakteur	male editor	ویراستار (مرد)	Maskulin	der	die Redakteure	[Nom] [Akk] [Dat] [Gen]	—
Schauspieler	male actor	بازیگر (مرد)	Maskulin	der	die Schauspieler	[Nom] [Akk] [Dat] [Gen]	—
Trainer	male coach	مربی (مرد)	Maskulin	der	die Trainer	[Nom] [Akk] [Dat] [Gen]	—
Arbeit	work	کار	Feminin	die	die Arbeiten	[Nom] [Akk] [Dat] [Gen]	—
Friseurin	female hairdresser	آرایشگر (زن)	Feminin	die	die Friseurinnen	[Nom] [Akk] [Dat] [Gen]	—
Architektin	female architect	معمار (زن)	Feminin	die	die Architektinnen	[Nom] [Akk] [Dat] [Gen]	—
Kollegin	female colleague	همکار (زن)	Feminin	die	die Kolleginnen	[Nom] [Akk] [Dat] [Gen]	—
Chefin	female boss	رئیس (زن)	Feminin	die	die Chefinnen	[Nom] [Akk] [Dat] [Gen]	—
Polizistin	policewoman	پلیس (زن)	Feminin	die	die Polizistinnen	[Nom] [Akk] [Dat] [Gen]	—
Managerin	female manager	مدیر (زن)	Feminin	die	die Managerinnen	[Nom] [Akk] [Dat] [Gen]	—
IT-Ingenieurin	female IT engineer	مهندس IT (زن)	Feminin	die	die IT-Ingenieurinnen	[Nom] [Akk] [Dat] [Gen]	—
Taxifahrerin	female taxi driver	راننده تاکسی (زن)	Feminin	die	die Taxifahrerinnen	[Nom] [Akk] [Dat] [Gen]	—
Rentnerin	female retiree	بازنشسته (زن)	Feminin	die	die Rentnerinnen	[Nom] [Akk] [Dat] [Gen]	—
Köchin	female cook	آشپز (زن)	Feminin	die	die Köchinnen	[Nom] [Akk] [Dat] [Gen]	—
Studentin	female university student	دانشجو (زن)	Feminin	die	die Studentinnen	[Nom] [Akk] [Dat] [Gen]	—
Ärztin	female doctor	پزشک (زن)	Feminin	die	die Ärztinnen	[Nom] [Akk] [Dat] [Gen]	—
Verkäuferin	saleswoman	فروشنده (زن)	Feminin	die	die Verkäuferinnen	[Nom] [Akk] [Dat] [Gen]	—
Lehrerin	female teacher	معلم (زن)	Feminin	die	die Lehrerinnen	[Nom] [Akk] [Dat] [Gen]	—
Journalistin	female journalist	روزنامه‌نگار (زن)	Feminin	die	die Journalistinnen	[Nom] [Akk] [Dat] [Gen]	—
Fitnesstrainerin	female fitness trainer	مربی بدنسازی (زن)	Feminin	die	die Fitnesstrainerinnen	[Nom] [Akk] [Dat] [Gen]	—
Programmiererin	female programmer	برنامه‌نویس (زن)	Feminin	die	die Programmiererinnen	[Nom] [Akk] [Dat] [Gen]	—
Pilotin	female pilot	خلبان (زن)	Feminin	die	die Pilotinnen	[Nom] [Akk] [Dat] [Gen]	—
Krankenschwester	female nurse	پرستار (زن)	Feminin	die	die Krankenschwestern	[Nom] [Akk] [Dat] [Gen]	—
Psychologin	female psychologist	روانشناس (زن)	Feminin	die	die Psychologinnen	[Nom] [Akk] [Dat] [Gen]	—
Hausfrau	housewife	خانه‌دار (زن)	Feminin	die	die Hausfrauen	[Nom] [Akk] [Dat] [Gen]	—
Automechanikerin	female auto mechanic	مکانیک خودرو (زن)	Feminin	die	die Automechanikerinnen	[Nom] [Akk] [Dat] [Gen]	—
Redakteurin	female editor	ویراستار (زن)	Feminin	die	die Redakteurinnen	[Nom] [Akk] [Dat] [Gen]	—
Schauspielerin	actress	بازیگر (زن)	Feminin	die	die Schauspielerinnen	[Nom] [Akk] [Dat] [Gen]	—
Trainerin	female coach	مربی (زن)	Feminin	die	die Trainerinnen	[Nom] [Akk] [Dat] [Gen]	—
Arbeitszeit	working hours	ساعات کاری	Feminin	die	die Arbeitszeiten	[Nom] [Akk] [Dat] [Gen]	—
Karriere	career	شغل	Feminin	die	die Karrieren	[Nom] [Akk] [Dat] [Gen]	—
Aufgabe	task	وظیفه	Feminin	die	die Aufgaben	[Nom] [Akk] [Dat] [Gen]	—
Traumjob	dream job	شغل رؤیایی	Neutral	das	die Traumjobs	[Nom] [Akk] [Dat] [Gen]	—
Problem	problem	مشکل	Neutral	das	die Probleme	[Nom] [Akk] [Dat] [Gen]	—
Name	name	نام	Maskulin	der	die Namen	[Nom] [Akk] [Dat] [Gen]	—
Vorname	first name	نام کوچک	Maskulin	der	die Vornamen	[Nom] [Akk] [Dat] [Gen]	—
Nachname	last name	نام خانوادگی	Maskulin	der	die Nachnamen	[Nom] [Akk] [Dat] [Gen]	—
Lebenslauf	CV	رزومه	Maskulin	der	die Lebensläufe	[Nom] [Akk] [Dat] [Gen]	—
Geburtsort	place of birth	محل تولد	Maskulin	der	die Geburtsorte	[Nom] [Akk] [Dat] [Gen]	—
Familienstand	marital status	وضعیت تأهل	Maskulin	der	die Familienstände	[Nom] [Akk] [Dat] [Gen]	—
Handynummer	mobile number	شماره موبایل	Feminin	die	die Handynummern	[Nom] [Akk] [Dat] [Gen]	—
Telefonnummer	phone number	شماره تلفن	Feminin	die	die Telefonnummern	[Nom] [Akk] [Dat] [Gen]	—
Hausnummer	house number	شماره خانه	Feminin	die	die Hausnummern	[Nom] [Akk] [Dat] [Gen]	—
Adresse	address	آدرس	Feminin	die	die Adressen	[Nom] [Akk] [Dat] [Gen]	—
E-Mail-Adresse	email address	آدرس ایمیل	Feminin	die	die E-Mail-Adressen	[Nom] [Akk] [Dat] [Gen]	—
Herkunft	origin	خاستگاه	Feminin	die	die Herkünfte	[Nom] [Akk] [Dat] [Gen]	—
Postleitzahl	postal code	کد پستی	Feminin	die	die Postleitzahlen	[Nom] [Akk] [Dat] [Gen]	—
Muttersprache	native language	زبان مادری	Feminin	die	die Muttersprachen	[Nom] [Akk] [Dat] [Gen]	—
Geburtsdatum	date of birth	تاریخ تولد	Neutral	das	die Geburtsdaten	[Nom] [Akk] [Dat] [Gen]	—
Kamm	comb	شانه	Maskulin	der	die Kämme	[Nom] [Akk] [Dat] [Gen]	—
Spiegel	mirror	آینه	Maskulin	der	die Spiegel	[Nom] [Akk] [Dat] [Gen]	—
Schere	scissors	قیچی	Feminin	die	die Scheren	[Nom] [Akk] [Dat] [Gen]	—
Bürste	brush	برس	Feminin	die	die Bürsten	[Nom] [Akk] [Dat] [Gen]	—
Regen	rain	باران	Maskulin	der	die Regen	[Nom] [Akk] [Dat] [Gen]	—
Regenbogen	rainbow	رنگین‌کمان	Maskulin	der	die Regenbogen	[Nom] [Akk] [Dat] [Gen]	—
Schnee	snow	برف	Maskulin	der	die Schnee	[Nom] [Akk] [Dat] [Gen]	—
Sonne	sun	خورشید	Feminin	die	die Sonnen	[Nom] [Akk] [Dat] [Gen]	—
Wolke	cloud	ابر	Feminin	die	die Wolken	[Nom] [Akk] [Dat] [Gen]	—
Vokabel	vocabulary word	لغت	Feminin	die	die Vokabeln	[Nom] [Akk] [Dat] [Gen]	—
Antwort	answer	پاسخ	Feminin	die	die Antworten	[Nom] [Akk] [Dat] [Gen]	—
Nummer	number	شماره	Feminin	die	die Nummern	[Nom] [Akk] [Dat] [Gen]	—
Dialog	dialogue	گفتگو	Maskulin	der	die Dialoge	[Nom] [Akk] [Dat] [Gen]	—
Percent	percent	درصد	Neutral	das	die Prozent	[Nom] [Akk] [Dat] [Gen]	—
Berliner	male citizen of Berlin	برلینی (مرد)	Maskulin	der	die Berliner	[Nom] [Akk] [Dat] [Gen]	—
Vegetarier	male vegetarian	گیاه‌خوار (مرد)	Maskulin	der	die Vegetarier	[Nom] [Akk] [Dat] [Gen]	—
Stress	stress	استرس	Maskulin	der	die Stresse	[Nom] [Akk] [Dat] [Gen]	—
Spaß	fun	تفریح	Maskulin	der	die Späße	[Nom] [Akk] [Dat] [Gen]	—
Krankenpfleger	male nurse	پرستار (مرد)	Maskulin	der	die Krankenpfleger	[Nom] [Akk] [Dat] [Gen]	—
Schüler	male student	دانش‌آموز (مرد)	Maskulin	der	die Schüler	[Nom] [Akk] [Dat] [Gen]	—
Baum	tree	درخت	Maskulin	der	die Bäume	[Nom] [Akk] [Dat] [Gen]	—
Berlinerin	female citizen of Berlin	برلینی (زن)	Feminin	die	die Berlinerinnen	[Nom] [Akk] [Dat] [Gen]	—
Vegetarierin	female vegetarian	گیاه‌خوار (زن)	Feminin	die	die Vegetarierinnen	[Nom] [Akk] [Dat] [Gen]	—
Lieblingsfarbe	favorite color	رنگ مورد علاقه	Feminin	die	die Lieblingsfarben	[Nom] [Akk] [Dat] [Gen]	—
Krankenschwester	female nurse	پرستار (زن)	Feminin	die	die Krankenschwestern	[Nom] [Akk] [Dat] [Gen]	—
Schülerin	female student	دانش‌آموز (زن)	Feminin	die	die Schülerinnen	[Nom] [Akk] [Dat] [Gen]	—
