German	English	Persian	Gender	Article	Plural	Cases	Example
Richterin	female judge	قاضی زن	Feminin	die	die Richterinnen	Nom/Acc/Dat/Gen	—
Staatsanwalt	prosecutor	دادستان	Maskulin	der	die Staatsanwälte	Nom/Acc/Dat/Gen	—
Staatsanwältin	female prosecutor	دادستان زن	Feminin	die	die Staatsanwältinnen	Nom/Acc/Dat/Gen	—
Verhandlung	trial/hearing	جلسه دادرسی	Feminin	die	die Verhandlungen	Nom/Acc/Dat/Gen	—
Klage	lawsuit	شکایت	Feminin	die	die Klagen	Nom/Acc/Dat/Gen	—
Berufung	appeal	استیناف	Feminin	die	die Berufungen	Nom/Acc/Dat/Gen	—
Recht	law/right	حق/قانون	Neutral	das	die Rechte	Nom/Acc/Dat/Gen	—
Schuld	guilt	تقصیر	Feminin	die	die Schulden	Nom/Acc/Dat/Gen	—
Strafe	penalty	مجازات	Feminin	die	die Strafen	Nom/Acc/Dat/Gen	—
Gefängnis	prison	زندان	Feminin	die	die Gefängnisse	Nom/Acc/Dat/Gen	—
Bewährung	probation	آزادی مشروط	Feminin	die	die Bewährungen	Nom/Acc/Dat/Gen	—
Haftung	liability	مسئولیت	Feminin	die	die Haftungen	Nom/Acc/Dat/Gen	—
Verantwortung	responsibility	مسئولیت	Feminin	die	die Verantwortungen	Nom/Acc/Dat/Gen	—
Grundgesetz	Basic Law (German constitution)	قانون اساسی آلمان	Neutral	das	die Grundgesetze	Nom/Acc/Dat/Gen	—
Paragraph	section/paragraph	بند قانونی	Maskulin	der	die Paragraphen	Nom/Acc/Dat/Gen	—
Rechtsprechung	jurisdiction	صلاحیت قضایی	Feminin	die	die Rechtsprechungen	Nom/Acc/Dat/Gen	—
Beweis	proof	مدرک	Maskulin	der	die Beweise	Nom/Acc/Dat/Gen	—
Zeugin	female witness	شاهد زن	Feminin	die	die Zeuginnen	Nom/Acc/Dat/Gen	—
Zeuge	witness	شاهد	Maskulin	der	die Zeugen	Nom/Acc/Dat/Gen	—
Journalismus	journalism	روزنامه‌نگاری	Maskulin	der	die Journalismen	Nom/Acc/Dat/Gen	—
Medienethik	media ethics	اخلاق رسانه	Feminin	die	die Medienethiken	Nom/Acc/Dat/Gen	—
Fake News	fake news	اخبار جعلی	Feminin	die	die Fake News	Nom/Acc/Dat/Gen	—
Propaganda	propaganda	تبلیغات	Feminin	die	die Propaganden	Nom/Acc/Dat/Gen	—
Zensur	censorship	سانسور	Feminin	die	die Zensuren	Nom/Acc/Dat/Gen	—
Meinungsfreiheit	freedom of speech	آزادی بیان	Feminin	die	die Meinungsfreiheiten	Nom/Acc/Dat/Gen	—
Zeitung	newspaper	روزنامه	Feminin	die	die Zeitungen	Nom/Acc/Dat/Gen	—
Fernsehen	television	تلویزیون	Neutral	das	die Fernsehens	Nom/Acc/Dat/Gen	—
Radio	radio	رادیو	Neutral	das	die Radios	Nom/Acc/Dat/Gen	—
Sender	station/channel	ایستگاه/شبکه	Maskulin	der	die Sender	Nom/Acc/Dat/Gen	—
Sendung	broadcast	برنامه	Feminin	die	die Sendungen	Nom/Acc/Dat/Gen	—
Nachricht	news	خبر	Feminin	die	die Nachrichten	Nom/Acc/Dat/Gen	—
Quelle	source	منبع	Feminin	die	die Quellen	Nom/Acc/Dat/Gen	—
Bericht	report	گزارش	Maskulin	der	die Berichte	Nom/Acc/Dat/Gen	—
Recherche	research/investigation	تحقیق	Feminin	die	die Recherchen	Nom/Acc/Dat/Gen	—
Interview	interview	مصاحبه	Neutral	das	die Interviews	Nom/Acc/Dat/Gen	—
Dokumentation	documentary	مستند	Feminin	die	die Dokumentationen	Nom/Acc/Dat/Gen	—
Redaktion	editorial	تحریریه	Feminin	die	die Redaktionen	Nom/Acc/Dat/Gen	—
Auflage	edition/circulation	تیراژ	Feminin	die	die Auflagen	Nom/Acc/Dat/Gen	—
Ticker	news ticker	خبررسان لحظه‌ای	Maskulin	der	die Ticker	Nom/Acc/Dat/Gen	—
Kamera	camera	دوربین	Feminin	die	die Kameras	Nom/Acc/Dat/Gen	—
Foto	photo	عکس	Neutral	das	die Fotos	Nom/Acc/Dat/Gen	—
Kanal	channel	کانال	Maskulin	der	die Kanäle	Nom/Acc/Dat/Gen	—
Portal	portal	پورتال	Neutral	das	die Portale	Nom/Acc/Dat/Gen	—
Werbung	advertising	تبلیغات	Feminin	die	die Werbungen	Nom/Acc/Dat/Gen	—
Meinung	opinion	نظر	Feminin	die	die Meinungen	Nom/Acc/Dat/Gen	—
Kolumnist	columnist	ستون‌نویس	Maskulin	der	die Kolumnisten	Nom/Acc/Dat/Gen	—
Epidemiologie	epidemiology	اپیدمیولوژی	Feminin	die	die Epidemiologien	Nom/Acc/Dat/Gen	—
Prävention	prevention	پیشگیری	Feminin	die	die Präventionen	Nom/Acc/Dat/Gen	—
Pharmakologie	pharmacology	داروشناسی	Feminin	die	die Pharmakologien	Nom/Acc/Dat/Gen	—
Immunologie	immunology	ایمنی‌شناسی	Feminin	die	die Immunologien	Nom/Acc/Dat/Gen	—
Arzt	doctor	پزشک	Maskulin	der	die Ärzte	Nom/Acc/Dat/Gen	—
Ärztin	female doctor	پزشک زن	Feminin	die	die Ärztinnen	Nom/Acc/Dat/Gen	—
Krankenhaus	hospital	بیمارستان	Neutral	das	die Krankenhäuser	Nom/Acc/Dat/Gen	—
Krankheit	disease	بیماری	Feminin	die	die Krankheiten	Nom/Acc/Dat/Gen	—
Medizin	medicine	دارو/پزشکی	Feminin	die	die Medizinen	Nom/Acc/Dat/Gen	—
Gesundheit	health	سلامتی	Feminin	die	die Gesundheiten	Nom/Acc/Dat/Gen	—
Symptomatik	symptomatology	علائم‌شناسی	Feminin	die	die Symptomatiken	Nom/Acc/Dat/Gen	—
Pathologie	pathology	آسیب‌شناسی	Feminin	die	die Pathologien	Nom/Acc/Dat/Gen	—
Onkologie	oncology	انکولوژی	Feminin	die	die Onkologien	Nom/Acc/Dat/Gen	—
Kardiologie	cardiology	قلب‌شناسی	Feminin	die	die Kardiologien	Nom/Acc/Dat/Gen	—
Pädiatrie	pediatrics	اطفال	Feminin	die	die Pädiatrien	Nom/Acc/Dat/Gen	—
Chirurgie	surgery	جراحی	Feminin	die	die Chirurgien	Nom/Acc/Dat/Gen	—
Anästhesie	anesthesia	بیهوشی	Feminin	die	die Anästhesien	Nom/Acc/Dat/Gen	—
Röntgenaufnahme	X-ray	رادیولوژی	Feminin	die	die Röntgenaufnahmen	Nom/Acc/Dat/Gen	—
Impfung	vaccination	واکسیناسیون	Feminin	die	die Impfungen	Nom/Acc/Dat/Gen	—
Medikament	medication	دارو	Neutral	das	die Medikamente	Nom/Acc/Dat/Gen	—
Tablette	pill/tablet	قرص	Feminin	die	die Tabletten	Nom/Acc/Dat/Gen	—
Dosis	dose	دوز	Feminin	die	die Dosen	Nom/Acc/Dat/Gen	—
Spritze	syringe/injection	سرنگ	Feminin	die	die Spritzen	Nom/Acc/Dat/Gen	—
Rezept	prescription	نسخه	Neutral	das	die Rezepte	Nom/Acc/Dat/Gen	—
Untersuchung	examination	معاینه	Feminin	die	die Untersuchungen	Nom/Acc/Dat/Gen	—
Blutuntersuchung	blood test	آزمایش خون	Feminin	die	die Blutuntersuchungen	Nom/Acc/Dat/Gen	—
Operation	operation	عمل جراحی	Feminin	die	die Operationen	Nom/Acc/Dat/Gen	—
einerseits ... andererseits	on the one hand ... on the other hand	از یک طرف ... از طرف دیگر	Contrast	—	—	—	—
obwohl / trotzdem	although / nevertheless	علی‌رغم / با این حال	Concession	—	—	—	—
deshalb / deswegen	therefore	بنابراین	Cause-effect	—	—	—	—
außerdem / zudem	moreover	علاوه بر این	Addition	—	—	—	—
hingegen / dagegen	on the other hand	از طرف دیگر	Contrast	—	—	—	—
beispielsweise / zum Beispiel	for example	به عنوان مثال	Example	—	—	—	—
genau genommen	strictly speaking	به طور دقیق	Precision	—	—	—	—
in der Regel	as a rule	به طور معمول	Frequency	—	—	—	—
vor allem	especially	به ویژه	Emphasis	—	—	—	—
meiner Meinung nach	in my opinion	به نظر من	Opinion	—	—	—	—
es sei denn	unless	مگر اینکه	Condition	—	—	—	—
sofern / vorausgesetzt	provided that	مشروط بر اینکه	Condition	—	—	—	—
infolgedessen	as a consequence	در نتیجه	Consequence	—	—	—	—
im Grunde genommen	basically	در اصل	Generalization	—	—	—	—
mit anderen Worten	in other words	به عبارت دیگر	Reformulation	—	—	—	—
was ... betrifft	as far as ... is concerned	در مورد ...	Topic	—	—	—	—
aus diesem Grund	for this reason	به این دلیل	Reason	—	—	—	—
unter Berücksichtigung von	taking into account	با توجه به	Consideration	—	—	—	—
im Hinblick auf	with regard to	از نظر / در رابطه با	Reference	—	—	—	—
nicht nur ... sondern auch	not only ... but also	نه تنها ... بلکه	Addition	—	—	—	—
